     ,FARECARD USAGE BY STATION FOR DATE RANGE: ,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                          
     ,03/14/2020-03/20/2020,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                                               
REMOTE, STATION,FF,SEN/DIS, 7-D AFAS UNL,30-D AFAS/RMF UNL,JOINT RR TKT,7-D UNL,30-D UNL,7D-XBUS PASS,TCMC,RF 2 TRIP,RR UNL NO TRADE,TCMC ANNUAL MC,MR EZPAY EXP,MR EZPAY UNL,PATH 2-T,AIRTRAIN FF,AIRTRAIN 30-D,AIRTRAIN 10-T,AIRTRAIN MTHLY,STUDENTS,NICE 2-T,CUNY-120,CUNY-60,FF VALUE,FF 7-DAY,FF 30-DAY,                                                                     
R132,125TH STREET-LEXINGTON AVE    ,00020664,00001988,00000657,00001087,00000038,00021543,00013299,00000049,00000059,00001161,00000104,00002015,00000737,00000256,00000002,00000125,00000000,00000003,00000000,00001561,00000006,00000411,00000000,00001153,00001079,00000813,                                                                                                    
R133,MOSHOLU PARKWAY-JEROME AVE    ,00008209,00000656,00000146,00000166,00000001,00007442,00004796,00000014,00000031,00000287,00000000,00000937,00000053,00000070,00000000,00000038,00000000,00000000,00000000,00000766,00000000,00000259,00000000,00000355,00000335,00000227,                                                                                                    
R134,HUNTERS PT AVE-49TH AVE       ,00004800,00000246,00000074,00000120,00000057,00002662,00002518,00000031,00000048,00000103,00000083,00001107,00000154,00000055,00000000,00000043,00000000,00000000,00000000,00000099,00000000,00000027,00000000,00000058,00000087,00000063,                                                                                                    
R135,NEWKIRK AVE-NOSTRAND AVE      ,00007572,00000629,00000235,00000233,00000000,00006461,00003939,00000009,00000021,00000217,00000001,00000603,00000014,00000064,00000000,00000050,00000000,00000000,00000000,00000490,00000000,00000177,00000000,00000208,00000203,00000138,                                                                                                    
R136,SHEEPSHEAD BAY ROAD           ,00011196,00001192,00000196,00000600,00000003,00005214,00009695,00000009,00000064,00000324,00000003,00000868,00000177,00000125,00000000,00000057,00000000,00000000,00000000,00000645,00000000,00000156,00000000,00000259,00000107,00000339,                                                                                                    
R137,MYRTLE AVE-GATES AVENUE       ,00016440,00000744,00000110,00000318,00000004,00014825,00010812,00000018,00000043,00000483,00000003,00000769,00000083,00000179,00000000,00000140,00000000,00000000,00000000,00001147,00000000,00000261,00000000,00000409,00000391,00000401,                                                                                                    
R138,WEST 4TH ST-WASHINGTON SQ     ,00018199,00001350,00000202,00000503,00000005,00013976,00015040,00000134,00000126,00000305,00000028,00001051,00000403,00000397,00000000,00000340,00000000,00000000,00000000,00000434,00000000,00000152,00000000,00000350,00000318,00000283,                                                                                                    
R139,CANAL STREET-LISPENARD ST     ,00008236,00000557,00000056,00000152,00000009,00004923,00005673,00000029,00000058,00000130,00000070,00000468,00000177,00000156,00000000,00000163,00000000,00000000,00000000,00000186,00000000,00000066,00000000,00000092,00000104,00000123,                                                                                                    
R140,QUEENS PLAZA-JACKSON AVE      ,00007486,00000381,00000118,00000207,00000008,00005138,00007048,00000028,00000050,00000134,00000008,00000789,00000161,00000164,00000000,00000184,00000000,00000000,00000000,00000289,00000000,00000130,00000000,00000137,00000161,00000152,                                                                                                    
R141,71ST AVE-CONTINENTAL AVE      ,00015032,00001805,00000351,00000987,00000004,00010237,00015115,00000046,00000177,00000438,00000014,00001244,00000381,00000245,00000000,00000159,00000000,00000000,00000000,00000608,00000000,00000190,00000000,00000259,00000281,00000298,                                                                                                    
R142,ESSEX ST-DELANCEY ST          ,00017599,00001300,00000230,00000572,00000008,00012727,00013970,00000037,00000082,00000588,00000002,00001348,00000235,00000319,00000000,00000279,00000000,00000000,00000000,00001119,00000000,00000199,00000000,00000693,00000484,00000628,                                                                                                    
R143,28TH STREET-PARK AVE SOUTH    ,00011615,00000974,00000112,00000304,00000018,00007930,00007536,00000026,00000079,00000298,00000022,00001921,00000230,00000179,00000000,00000111,00000000,00000000,00000000,00000373,00000000,00000107,00000000,00000334,00000199,00000174,                                                                                                    
R144,96TH STREET-LEXINGTON AVE     ,00011483,00000899,00000128,00000344,00000009,00007431,00009097,00000087,00000077,00000276,00000020,00001082,00000353,00000291,00000000,00000129,00000000,00000000,00000000,00000459,00000000,00000110,00000000,00000299,00000278,00000301,                                                                                                    
R145,241ST ST-WHITE PLAINS RD      ,00006019,00000347,00000131,00000067,00000003,00004875,00001865,00000012,00000018,00000293,00000001,00000254,00000028,00000018,00000000,00000031,00000000,00000000,00000000,00000405,00000000,00000101,00000000,00000152,00000153,00000109,                                                                                                    
R146,HUNTS PT AVE-SOUTHERN BLVD    ,00009440,00000539,00000132,00000324,00000000,00012076,00005749,00000035,00000023,00000517,00000000,00000617,00000045,00000054,00000000,00000019,00000000,00000000,00000000,00001109,00000008,00000237,00000000,00000532,00000608,00000391,                                                                                                    
R147,61ST STREET-ROOSEVELT AVE     ,00014241,00001091,00000234,00000533,00000050,00011222,00012371,00000010,00000057,00000424,00000059,00000704,00000180,00000254,00000000,00000166,00000000,00000000,00000000,00000620,00000000,00000209,00000000,00000187,00000121,00000260,                                                                                                    
R148,PARKSIDE AVE-OCEAN AVE        ,00004852,00000453,00000110,00000192,00000001,00003973,00003962,00000001,00000017,00000211,00000000,00000522,00000058,00000113,00000000,00000051,00000000,00000000,00000000,00000309,00000000,00000069,00000000,00000106,00000115,00000089,                                                                                                    
R149,NEWKIRK PLAZA                 ,00008229,00000716,00000166,00000373,00000000,00006056,00006467,00000009,00000042,00000315,00000000,00000485,00000076,00000117,00000000,00000066,00000000,00000000,00000000,00000643,00000000,00000175,00000000,00000249,00000190,00000255,                                                                                                    
R150,AVENUE U-EAST 16TH STREET     ,00005402,00000622,00000087,00000479,00000003,00003487,00006261,00000011,00000043,00000186,00000001,00000209,00000069,00000083,00000000,00000032,00000000,00000000,00000000,00000350,00000000,00000109,00000000,00000138,00000034,00000314,                                                                                                    
R151,STILLWELL AVE-CONEY ISLAND    ,00010633,00000860,00000200,00000627,00000000,00008837,00006855,00000006,00000048,00000447,00000000,00000312,00000048,00000047,00000000,00000111,00000000,00000000,00000000,00000838,00000000,00000283,00000000,00000544,00000316,00000508,                                                                                                    
R152,ROCKAWAY PKWY-GLENWOOD RD     ,00008826,00000684,00000187,00000339,00000001,00009171,00005925,00000017,00000034,00000085,00000000,00000941,00000074,00000062,00000000,00000031,00000000,00000000,00000000,00000596,00000000,00000173,00000000,00000259,00000252,00000223,                                                                                                    
R153,UTICA AVE-STUYVESANT AVE      ,00010890,00000660,00000328,00000376,00000000,00011719,00008259,00000013,00000021,00000341,00000001,00000878,00000047,00000119,00000000,00000129,00000000,00000000,00000000,00000960,00000000,00000161,00000000,00000516,00000446,00000299,                                                                                                    
R154,TREMONT AVE-179TH ST          ,00008276,00000493,00000162,00000253,00000004,00010740,00004845,00000008,00000025,00000344,00000002,00000501,00000040,00000095,00000002,00000047,00000000,00000000,00000000,00000897,00000000,00000259,00000000,00000508,00000604,00000380,                                                                                                    
R155,KINGSBRIDGE RD-196TH ST       ,00007818,00000450,00000104,00000197,00000001,00008639,00004177,00000002,00000009,00000191,00000003,00000434,00000053,00000093,00000000,00000042,00000000,00000000,00000000,00000820,00000004,00000228,00000000,00000375,00000429,00000351,                                                                                                    
R156,BEDFORD PARK BLVD-203RD ST    ,00005785,00000409,00000119,00000173,00000001,00005975,00003863,00000015,00000023,00000194,00000000,00000468,00000146,00000061,00000000,00000017,00000000,00000000,00000000,00000509,00000000,00000160,00000000,00000256,00000220,00000193,                                                                                                    
R157,205TH ST-BAINBRIDGE AVE       ,00007793,00000436,00000114,00000212,00000001,00007839,00004854,00000010,00000024,00000233,00000004,00000661,00000102,00000113,00000000,00000082,00000000,00000000,00000000,00000809,00000000,00000248,00000000,00000383,00000430,00000305,                                                                                                    
R158,UNION TURNPIKE-KEW GARDENS    ,00011361,00001128,00000374,00000895,00000004,00012554,00015565,00000055,00000102,00000313,00000006,00001210,00000212,00000188,00000000,00000127,00000000,00000000,00000000,00000402,00000000,00000285,00000000,00000205,00000217,00000333,                                                                                                    
R159,116TH STREET-COLUMBIA         ,00005307,00000408,00000067,00000131,00000013,00002656,00003324,00000026,00000023,00000086,00000019,00000283,00000139,00000122,00000000,00000086,00000000,00000000,00000000,00000113,00000000,00000040,00000000,00000082,00000053,00000055,                                                                                                    
R160,ASTOR PLACE-4 AVENUE          ,00006558,00000562,00000095,00000290,00000016,00005622,00005430,00000017,00000050,00000117,00000016,00000515,00000148,00000157,00000000,00000094,00000000,00000000,00000000,00000317,00000000,00000065,00000000,00000150,00000120,00000106,                                                                                                    
R161,KINGSBRIDGE RD-JEROME AVE     ,00008597,00000492,00000138,00000191,00000000,00009533,00004292,00000018,00000019,00000346,00000000,00000498,00000049,00000160,00000000,00000052,00000000,00000000,00000000,00000740,00000002,00000210,00000000,00000351,00000475,00000313,                                                                                                    
R162,ELDER AVE-WESTCHESTER AVE     ,00008001,00000361,00000070,00000144,00000000,00009189,00003072,00000007,00000019,00000257,00000000,00000216,00000030,00000070,00000000,00000031,00000000,00000000,00000000,00000865,00000000,00000131,00000000,00000292,00000320,00000154,                                                                                                    
R163,14TH STREET-6TH AVENUE        ,00011375,00000802,00000143,00000364,00000002,00008210,00009415,00000075,00000103,00000134,00000002,00000919,00000232,00000248,00000000,00000174,00000000,00000000,00000000,00000305,00000000,00000119,00000000,00000198,00000202,00000184,                                                                                                    
R164,66TH STREET-BROADWAY          ,00007620,00001013,00000155,00000385,00000029,00005359,00006516,00000035,00000067,00000179,00000060,00000637,00000223,00000215,00000000,00000121,00000000,00000000,00000000,00000456,00000000,00000073,00000000,00000159,00000193,00000207,                                                                                                    
R165,TOMPKINSVILLE                 ,00001159,00000043,00000006,00000014,00000000,00000502,00000173,00000004,00000000,00000004,00000000,00000006,00000026,00000000,00000000,00000000,00000000,00000000,00000000,00000046,00000000,00000009,00000000,00000022,00000011,00000009,                                                                                                    
R166,79TH STREET-BROADWAY          ,00006140,00000900,00000166,00000411,00000002,00005096,00006071,00000029,00000061,00000170,00000016,00000470,00000154,00000193,00000000,00000100,00000000,00000000,00000000,00000240,00000000,00000078,00000000,00000097,00000146,00000086,                                                                                                    
R167,86TH STREET-BROADWAY          ,00008010,00001437,00000298,00000431,00000003,00007081,00007742,00000039,00000046,00000284,00000012,00000637,00000204,00000245,00000000,00000113,00000000,00000000,00000000,00000451,00000000,00000106,00000000,00000220,00000227,00000202,                                                                                                    
R168,96TH STREET-BROADWAY          ,00018232,00002965,00000535,00001207,00000006,00016334,00018689,00000037,00000139,00000895,00000015,00001699,00000368,00000533,00000000,00000226,00000000,00000000,00000000,00001047,00000000,00000246,00000000,00000602,00000694,00000545,                                                                                                    
R169,137TH STREET-BROADWAY         ,00007913,00000821,00000188,00000288,00000000,00009261,00007298,00000014,00000015,00000489,00000001,00000705,00000090,00000154,00000000,00000076,00000000,00000000,00000000,00000566,00000000,00000144,00000000,00000327,00000333,00000296,                                                                                                    
R170,14TH STREET-UNION SQUARE      ,00045594,00004070,00000941,00001943,00000038,00037342,00042622,00000183,00000332,00001070,00000091,00003931,00001031,00001078,00000000,00000620,00000000,00000000,00000000,00001907,00000000,00000660,00000000,00001275,00001303,00001187,                                                                                                    
R171,7TH AVENUE-PARK PLACE         ,00004098,00000392,00000069,00000171,00000000,00001982,00003950,00000003,00000026,00000078,00000001,00000475,00000127,00000139,00000000,00000053,00000000,00000000,00000000,00000160,00000000,00000033,00000000,00000058,00000045,00000046,                                                                                                    
R172,BRIGHTON BEACH-CONEY ISLAND   ,00012399,00001484,00000157,00000605,00000006,00006323,00008946,00000007,00000028,00000478,00000005,00000202,00000094,00000117,00000000,00000111,00000000,00000000,00000000,00000744,00000000,00000274,00000000,00000228,00000129,00000251,                                                                                                    
R173,207TH STREET-BROADWAY         ,00005704,00000662,00000162,00000302,00000001,00005931,00005379,00000008,00000020,00000344,00000004,00000648,00000071,00000155,00000000,00000065,00000000,00000000,00000000,00000379,00000000,00000123,00000000,00000205,00000229,00000222,                                                                                                    
R174,181ST STREET-FT WASH AVE      ,00005721,00000768,00000089,00000259,00000001,00005009,00005798,00000004,00000051,00000180,00000005,00000524,00000081,00000158,00000000,00000068,00000000,00000000,00000000,00000368,00000000,00000071,00000000,00000133,00000155,00000132,                                                                                                    
R175,8TH AVENUE-14TH STREET        ,00014847,00001036,00000180,00000528,00000020,00011330,00010640,00000068,00000088,00000268,00000047,00001118,00000257,00000319,00000000,00000201,00000000,00000000,00000000,00000751,00000000,00000122,00000000,00000305,00000312,00000336,                                                                                                    
R176,33RD STREET-PARK AVENUE       ,00015125,00001175,00000155,00000292,00000017,00009892,00011690,00000125,00000154,00000288,00000035,00001554,00000390,00000285,00000000,00000163,00000000,00000000,00000000,00000475,00000000,00000150,00000000,00000384,00000281,00000277,                                                                                                    
R177,68TH STREET-HUNTER COLLEGE    ,00012046,00001090,00000152,00000367,00000027,00007559,00008496,00000058,00000116,00000274,00000079,00001014,00000243,00000246,00000000,00000082,00000000,00000000,00000000,00000409,00000000,00000111,00000000,00000285,00000222,00000239,                                                                                                    
R178,77TH STREET-LEXINGTON AVE     ,00016835,00001474,00000191,00000520,00000019,00009979,00011190,00000083,00000097,00000373,00000053,00000721,00000357,00000343,00000000,00000122,00000000,00000000,00000000,00000399,00000000,00000123,00000000,00000253,00000253,00000250,                                                                                                    
R179,86TH STREET-LEXINGTON AVE     ,00023289,00001992,00000416,00000787,00000040,00019568,00019630,00000145,00000165,00000455,00000062,00001916,00000550,00000537,00000000,00000230,00000000,00000000,00000000,00000931,00000000,00000380,00000000,00000562,00000614,00000538,                                                                                                    
R180,103RD STREET-LEXINGTON AVE    ,00010685,00001001,00000156,00000306,00000008,00009243,00007098,00000031,00000037,00000480,00000017,00000467,00000329,00000185,00000000,00000073,00000000,00000000,00000000,00001136,00000000,00000233,00000000,00000673,00000538,00000469,                                                                                                    
R181,110TH STREET-LEXINGTON AVE    ,00008453,00000804,00000158,00000326,00000000,00008024,00006241,00000016,00000023,00000376,00000001,00000588,00000107,00000165,00000000,00000068,00000000,00000000,00000000,00000834,00000000,00000170,00000000,00000511,00000393,00000436,                                                                                                    
R182,116TH STREET-LEXINGTON AVE    ,00010587,00001025,00000265,00000492,00000000,00012553,00008597,00000027,00000045,00000488,00000001,00000669,00000181,00000213,00000000,00000113,00000000,00000000,00000000,00001075,00000000,00000228,00000000,00000555,00000526,00000496,                                                                                                    
R183,BEDFORD PARK BLVD-JEROME AV   ,00003636,00000214,00000073,00000087,00000000,00003984,00002206,00000004,00000012,00000156,00000000,00000257,00000015,00000026,00000000,00000010,00000000,00000000,00000000,00000330,00000000,00000112,00000000,00000159,00000153,00000097,                                                                                                    
R184,CORTELYOU RD-EAST 16TH ST     ,00005224,00000506,00000105,00000114,00000000,00003410,00003745,00000010,00000019,00000179,00000000,00000343,00000049,00000085,00000000,00000030,00000000,00000000,00000000,00000354,00000000,00000112,00000000,00000120,00000055,00000107,                                                                                                    
R185,DYCKMAN STREET-BROADWAY       ,00004921,00000425,00000079,00000122,00000000,00004100,00004049,00000003,00000019,00000180,00000000,00000409,00000056,00000123,00000000,00000031,00000000,00000000,00000000,00000404,00000000,00000090,00000000,00000212,00000184,00000115,                                                                                                    
R186,86TH ST-CENTRAL PARK WEST     ,00004173,00000484,00000085,00000163,00000004,00003430,00004081,00000021,00000031,00000103,00000015,00000388,00000101,00000117,00000000,00000095,00000000,00000000,00000000,00000295,00000000,00000050,00000000,00000090,00000119,00000107,                                                                                                    
R187,81ST STREET-MUSEUM            ,00003670,00000345,00000039,00000127,00000001,00002985,00003428,00000033,00000026,00000082,00000017,00000349,00000091,00000101,00000000,00000075,00000000,00000000,00000000,00000097,00000000,00000031,00000000,00000058,00000048,00000088,                                                                                                    
R188,50TH STREET-8TH AVENUE        ,00006935,00000502,00000110,00000198,00000010,00004484,00004640,00000020,00000041,00000187,00000024,00000413,00000145,00000162,00000000,00000193,00000000,00000000,00000000,00000480,00000000,00000044,00000000,00000162,00000151,00000104,                                                                                                    
R189,CHRISTOPHER ST-SHERIDAN SQ    ,00004314,00000507,00000082,00000206,00000007,00003396,00002983,00000017,00000025,00000121,00000020,00000250,00000100,00000096,00000000,00000132,00000000,00000000,00000000,00000074,00000000,00000031,00000000,00000066,00000065,00000048,                                                                                                    
R190,23RD STREET-7TH AVENUE        ,00006754,00000829,00000154,00000402,00000010,00006103,00006078,00000047,00000039,00000269,00000024,00000585,00000147,00000172,00000000,00000155,00000000,00000000,00000000,00000370,00000000,00000063,00000000,00000182,00000223,00000167,                                                                                                    
R191,103RD STREET-BROADWAY         ,00006444,00001148,00000164,00000417,00000003,00005482,00006073,00000013,00000029,00000417,00000004,00000503,00000118,00000128,00000000,00000161,00000000,00000000,00000000,00000491,00000000,00000070,00000000,00000200,00000238,00000213,                                                                                                    
R192,110TH STREET-BROADWAY         ,00006232,00000858,00000142,00000352,00000001,00004818,00005925,00000025,00000025,00000245,00000019,00000615,00000139,00000172,00000000,00000071,00000000,00000000,00000000,00000285,00000000,00000069,00000000,00000144,00000181,00000144,                                                                                                    
R193,157TH STREET-BROADWAY         ,00007183,00000836,00000190,00000295,00000006,00009234,00006533,00000001,00000027,00000308,00000000,00000625,00000072,00000164,00000000,00000049,00000000,00000000,00000000,00000512,00000000,00000169,00000000,00000237,00000365,00000310,                                                                                                    
R194,BLEECKER ST-LAFAYETTE ST      ,00006777,00000404,00000088,00000158,00000000,00006283,00006000,00000017,00000039,00000105,00000023,00000509,00000138,00000115,00000000,00000114,00000000,00000000,00000000,00000216,00000000,00000145,00000000,00000160,00000183,00000145,                                                                                                    
R195,161ST STREET-YANKEE STADIUM   ,00017177,00001480,00000462,00000607,00000005,00021654,00011723,00000027,00000067,00000909,00000009,00001334,00000114,00000185,00000000,00000124,00000000,00000000,00000000,00001917,00000000,00000602,00000000,00000926,00001137,00000799,                                                                                                    
R196,PROSPECT PARK-EMPIRE BLVD     ,00006667,00000651,00000166,00000268,00000000,00005350,00005819,00000004,00000014,00000211,00000004,00000729,00000063,00000164,00000000,00000071,00000000,00000000,00000000,00000474,00000000,00000081,00000000,00000145,00000128,00000132,                                                                                                    
R197,36TH STREET-4TH AVENUE        ,00011482,00000645,00000083,00000386,00000000,00008737,00008809,00000008,00000045,00000280,00000005,00000585,00000113,00000205,00000000,00000064,00000000,00000000,00000000,00000698,00000000,00000176,00000000,00000303,00000222,00000370,                                                                                                    
R198,NOSTRAND AVE-FULTON ST        ,00010924,00000827,00000383,00000345,00000002,00011158,00008709,00000019,00000035,00000459,00000000,00000887,00000056,00000165,00000000,00000215,00000000,00000000,00000000,00000788,00000000,00000113,00000000,00000415,00000399,00000293,                                                                                                    
R199,KINGSTON AVE-THROOP AVE       ,00004227,00000272,00000087,00000119,00000003,00003603,00002803,00000005,00000014,00000148,00000000,00000295,00000028,00000062,00000000,00000069,00000000,00000000,00000000,00000422,00000000,00000051,00000000,00000167,00000116,00000090,                                                                                                    
R200,EUCLID AVE-PITKIN AVE         ,00010196,00000653,00000236,00000395,00000000,00009125,00005355,00000001,00000022,00000423,00000001,00000448,00000175,00000106,00000000,00000080,00000000,00000000,00000000,00001077,00000000,00000171,00000000,00000699,00000527,00000452,                                                                                                    
R201,WOODHAVEN BLVD-QUEENS BLVD    ,00014298,00001206,00000205,00000555,00000002,00011844,00012391,00000024,00000078,00000502,00000021,00000990,00000153,00000208,00000000,00000141,00000000,00000000,00000000,00000953,00000000,00000349,00000000,00000307,00000272,00000341,                                                                                                    
R202,63RD DRIVE-REGO PARK          ,00012127,00001851,00000228,00000714,00000010,00007040,00011569,00000006,00000125,00000534,00000002,00000791,00000193,00000260,00000000,00000113,00000000,00000000,00000000,00000701,00000000,00000173,00000000,00000268,00000139,00000226,                                                                                                    
R203,23RD STREET-6TH AVENUE        ,00007929,00000628,00000140,00000302,00000006,00005632,00007194,00000026,00000060,00000157,00000005,00000640,00000178,00000218,00000000,00000140,00000000,00000000,00000000,00000241,00000000,00000111,00000000,00000170,00000135,00000159,                                                                                                    
R204,CHURCH AVE-MCDONALD AVE       ,00007775,00000719,00000143,00000350,00000005,00005993,00006760,00000006,00000024,00000209,00000006,00000395,00000076,00000099,00000000,00000075,00000000,00000000,00000000,00000590,00000000,00000111,00000000,00000217,00000134,00000273,                                                                                                    
R205,149TH ST-GRAND CONCOURSE      ,00010285,00000635,00000212,00000284,00000006,00010385,00006222,00000022,00000014,00000389,00000010,00002177,00000054,00000096,00000000,00000047,00000000,00000000,00000000,00001075,00000000,00000389,00000000,00000548,00000637,00000446,                                                                                                    
R206,125TH STREET-LENOX AVENUE     ,00008833,00000906,00000399,00000596,00000008,00010702,00007746,00000046,00000026,00000507,00000003,00001059,00000150,00000202,00000000,00000104,00000000,00000000,00000000,00000989,00000002,00000251,00000000,00000433,00000561,00000413,                                                                                                    
R207,135TH STREET-LENOX AVENUE     ,00010254,00001228,00000362,00000510,00000005,00010018,00008416,00000023,00000019,00000504,00000010,00002079,00000119,00000213,00000000,00000129,00000000,00000000,00000000,00001245,00000000,00000194,00000000,00000527,00000511,00000423,                                                                                                    
R208,103RD ST-ROOSEVELT AVE        ,00023709,00001133,00000205,00000211,00000010,00031060,00008525,00000017,00000048,00000609,00000004,00000453,00000575,00001030,00000000,00000108,00000000,00000000,00000000,00001571,00000000,00000344,00000000,00000276,00000228,00000203,                                                                                                    
R209,STERLING ST-NOSTRAND AVE      ,00004670,00000571,00000165,00000149,00000000,00003650,00002972,00000000,00000041,00000199,00000000,00000353,00000042,00000087,00000000,00000032,00000000,00000000,00000000,00000308,00000000,00000046,00000000,00000134,00000091,00000065,                                                                                                    
R210,BEVERLY RD-NOSTRAND AVE       ,00004541,00000372,00000118,00000139,00000000,00003472,00002417,00000007,00000007,00000197,00000000,00000297,00000029,00000039,00000000,00000020,00000000,00000000,00000000,00000406,00000000,00000129,00000000,00000152,00000126,00000039,                                                                                                    
R211,KINGS HIGHWAY-EAST 16TH ST    ,00014268,00001632,00000242,00000871,00000006,00009086,00013745,00000036,00000103,00000418,00000003,00000730,00000211,00000111,00000000,00000080,00000000,00000000,00000000,00000910,00000000,00000234,00000000,00000384,00000167,00000395,                                                                                                    
R212,59TH STREET-4TH AVENUE        ,00011403,00000637,00000101,00000386,00000001,00008002,00007380,00000007,00000042,00000255,00000005,00000483,00000065,00000097,00000000,00000068,00000000,00000000,00000000,00000781,00000000,00000142,00000000,00000288,00000182,00000348,                                                                                                    
R213,BAY RIDGE AVE-4TH AVENUE      ,00006472,00000501,00000095,00000198,00000000,00003888,00004906,00000024,00000046,00000169,00000005,00000335,00000089,00000090,00000000,00000044,00000000,00000000,00000000,00000491,00000000,00000063,00000000,00000198,00000133,00000187,                                                                                                    
R214,77TH STREET-4TH AVENUE        ,00004384,00000378,00000049,00000088,00000000,00002327,00003119,00000012,00000054,00000103,00000000,00000230,00000061,00000069,00000000,00000041,00000000,00000000,00000000,00000215,00000000,00000061,00000000,00000130,00000053,00000049,                                                                                                    
R215,86TH STREET-4TH AVENUE        ,00006346,00000531,00000135,00000335,00000000,00006211,00006632,00000051,00000036,00000160,00000000,00000420,00000123,00000122,00000000,00000036,00000000,00000000,00000000,00000496,00000000,00000153,00000000,00000129,00000130,00000233,                                                                                                    
R216,BAY RIDGE - 95TH STREET       ,00005114,00000544,00000086,00000191,00000000,00002432,00003323,00000021,00000046,00000137,00000007,00000292,00000114,00000092,00000000,00000027,00000000,00000000,00000000,00000214,00000000,00000044,00000000,00000080,00000068,00000088,                                                                                                    
R217,HOYT ST-SCHERMERHORN ST       ,00008365,00000501,00000098,00000188,00000000,00005985,00005367,00000001,00000031,00000215,00000000,00000553,00000091,00000111,00000000,00000114,00000000,00000000,00000000,00000447,00000000,00000105,00000000,00000377,00000250,00000189,                                                                                                    
R218,ELMHURST AVE-BROADWAY         ,00009964,00001112,00000157,00000651,00000000,00007183,00012959,00000001,00000041,00000404,00000004,00000678,00000075,00000170,00000000,00000078,00000000,00000000,00000000,00000618,00000000,00000142,00000000,00000175,00000099,00000299,                                                                                                    
R219,67TH AVENUE-QUEENS BLVD       ,00006060,00000881,00000082,00000367,00000000,00002403,00005733,00000010,00000060,00000205,00000003,00000463,00000148,00000158,00000000,00000056,00000000,00000000,00000000,00000312,00000000,00000043,00000000,00000113,00000053,00000071,                                                                                                    
R220,CARROLL ST-PRESIDENT ST       ,00005238,00000426,00000063,00000143,00000003,00003179,00004003,00000001,00000036,00000106,00000000,00000500,00000117,00000144,00000000,00000059,00000000,00000000,00000000,00000274,00000000,00000060,00000000,00000096,00000101,00000099,                                                                                                    
R221,167TH STREET-RIVER AVENUE     ,00008841,00000423,00000150,00000136,00000000,00010672,00004837,00000002,00000027,00000313,00000001,00000625,00000029,00000049,00000000,00000058,00000000,00000000,00000000,00000943,00000000,00000323,00000000,00000473,00000489,00000349,                                                                                                    
R222,177TH STREET-PARKCHESTER      ,00013559,00001053,00000214,00000460,00000000,00012141,00009516,00000037,00000056,00000490,00000008,00001114,00000054,00000124,00000000,00000061,00000000,00000000,00000000,00001001,00000000,00000290,00000000,00000520,00000440,00000483,                                                                                                    
R223,46TH ST-BLISS ST              ,00010605,00000927,00000151,00000313,00000002,00009419,00009694,00000006,00000038,00000322,00000009,00000660,00000083,00000172,00000000,00000097,00000000,00000000,00000000,00000660,00000000,00000139,00000000,00000177,00000156,00000221,                                                                                                    
R224,CLARK STREET-HENRY STREET     ,00002518,00000335,00000026,00000146,00000005,00001611,00002051,00000006,00000012,00000060,00000005,00000188,00000042,00000062,00000000,00000070,00000000,00000000,00000000,00000055,00000000,00000014,00000000,00000020,00000021,00000019,                                                                                                    
R225,HOYT STREET-HOYT STREET       ,00003063,00000315,00000080,00000077,00000002,00002502,00002516,00000002,00000008,00000056,00000015,00000292,00000046,00000053,00000000,00000028,00000000,00000000,00000000,00000314,00000000,00000085,00000000,00000129,00000128,00000092,                                                                                                    
R226,GUN HILL ROAD-SEYMOUR         ,00002679,00000210,00000062,00000048,00000000,00001615,00000915,00000001,00000016,00000125,00000000,00000207,00000009,00000009,00000000,00000007,00000000,00000000,00000000,00000259,00000000,00000027,00000000,00000134,00000089,00000042,                                                                                                    
R227,RECTOR STREET-CHURCH STREET   ,00002667,00000176,00000027,00000038,00000000,00001351,00002189,00000237,00000047,00000019,00000000,00000209,00000063,00000055,00000000,00000060,00000000,00000000,00000000,00000081,00000000,00000025,00000000,00000027,00000010,00000029,                                                                                                    
R228,AVENUE J-EAST 16TH STREET     ,00004216,00000457,00000091,00000271,00000000,00003826,00004695,00000005,00000018,00000118,00000003,00000264,00000050,00000044,00000000,00000022,00000000,00000000,00000000,00000323,00000000,00000103,00000000,00000111,00000087,00000122,                                                                                                    
R229,AVENUE M-EAST 16TH STREET     ,00004816,00000463,00000098,00000240,00000001,00003118,00003802,00000010,00000033,00000103,00000000,00000127,00000082,00000057,00000000,00000035,00000000,00000000,00000000,00000413,00000000,00000086,00000000,00000112,00000067,00000169,                                                                                                    
R230,NECK ROAD-EAST 16TH STREET    ,00003808,00000482,00000020,00000217,00000000,00001452,00003970,00000000,00000044,00000143,00000000,00000183,00000086,00000061,00000000,00000013,00000000,00000000,00000000,00000235,00000000,00000043,00000000,00000122,00000028,00000079,                                                                                                    
R231,UNION STREET-4TH AVENUE       ,00004126,00000279,00000059,00000099,00000000,00002286,00002851,00000003,00000018,00000124,00000002,00000274,00000058,00000114,00000000,00000040,00000000,00000000,00000000,00000196,00000000,00000050,00000000,00000066,00000063,00000066,                                                                                                    
